,date,time,price
315,9/28/2021,8:00 a.m.,124
316,9/28/2021,12:00 p.m.,119
317,9/29/2021,8:00 a.m.,151
318,9/29/2021,12:00 p.m.,203
319,9/30/2021,8:00 a.m.,189
320,9/30/2021,12:00 p.m.,52
321,10/1/2021,8:00 a.m.,48
322,10/1/2021,12:00 p.m.,44
323,10/2/2021,8:00 a.m.,39
324,10/2/2021,12:00 p.m.,36
325,10/3/2021,5:00 a.m.,97
326,10/4/2021,8:00 a.m.,85
327,10/4/2021,12:00 p.m.,80
328,10/5/2021,8:00 a.m.,76
329,10/5/2021,12:00 p.m.,72
330,10/6/2021,8:00 a.m.,68
331,10/6/2021,12:00 p.m.,64
332,10/7/2021,8:00 a.m.,91
333,10/7/2021,12:00 p.m.,168
334,10/8/2021,8:00 a.m.,437
335,10/8/2021,12:00 p.m.,161
336,10/9/2021,8:00 a.m.,111
337,10/9/2021,12:00 p.m.,41
338,10/10/2021,5:00 a.m.,94
339,10/11/2021,8:00 a.m.,91
340,10/11/2021,12:00 p.m.,109
341,10/12/2021,8:00 a.m.,107
342,10/12/2021,12:00 p.m.,97
343,10/13/2021,8:00 a.m.,121
344,10/13/2021,12:00 p.m.,57
345,10/14/2021,8:00 a.m.,49
346,10/14/2021,12:00 p.m.,40
347,10/15/2021,8:00 a.m.,118
348,10/15/2021,12:00 p.m.,67
349,10/16/2021,8:00 a.m.,62
350,10/16/2021,12:00 p.m.,123
351,10/17/2021,5:00 a.m.,98
352,10/18/2021,8:00 a.m.,113
353,10/18/2021,12:00 p.m.,92
354,10/19/2021,8:00 a.m.,102
355,10/19/2021,12:00 p.m.,104
356,10/20/2021,8:00 a.m.,105
357,10/20/2021,12:00 p.m.,104
358,10/21/2021,8:00 a.m.,70
359,10/21/2021,12:00 p.m.,62
360,10/22/2021,8:00 a.m.,52
361,10/22/2021,12:00 p.m.,113
362,10/23/2021,8:00 a.m.,64
363,10/23/2021,12:00 p.m.,55
364,10/24/2021,5:00 a.m.,105
365,10/25/2021,8:00 a.m.,52
366,10/25/2021,12:00 p.m.,48
367,10/26/2021,8:00 a.m.,45
368,10/26/2021,12:00 p.m.,40
369,10/27/2021,8:00 a.m.,121
370,10/27/2021,12:00 p.m.,145
371,10/28/2021,8:00 a.m.,199
372,10/28/2021,12:00 p.m.,202
373,10/29/2021,8:00 a.m.,157
374,10/29/2021,12:00 p.m.,81
375,10/30/2021,8:00 a.m.,76
376,10/30/2021,12:00 p.m.,72
377,10/31/2021,5:00 a.m.,103
378,11/1/2021,8:00 a.m.,91
379,11/1/2021,12:00 p.m.,87
380,11/2/2021,8:00 a.m.,82
381,11/2/2021,12:00 p.m.,78
382,11/3/2021,8:00 a.m.,73
383,11/3/2021,12:00 p.m.,133
384,11/4/2021,8:00 a.m.,206
385,11/4/2021,12:00 p.m.,484
386,11/5/2021,8:00 a.m.,156
387,11/5/2021,12:00 p.m.,104
388,11/6/2021,8:00 a.m.,53
389,11/6/2021,12:00 p.m.,68
390,11/7/2021,5:00 a.m.,92
391,11/8/2021,8:00 a.m.,62
392,11/8/2021,12:00 p.m.,52
393,11/9/2021,8:00 a.m.,45
394,11/9/2021,12:00 p.m.,122
395,11/10/2021,8:00 a.m.,66
396,11/10/2021,12:00 p.m.,55
397,11/11/2021,8:00 a.m.,112
398,11/11/2021,12:00 p.m.,95
399,11/12/2021,8:00 a.m.,121
400,11/12/2021,12:00 p.m.,114
401,11/13/2021,8:00 a.m.,120
402,11/13/2021,12:00 p.m.,97
403,11/14/2021,5:00 a.m.,108
404,11/15/2021,8:00 a.m.,61
405,11/15/2021,12:00 p.m.,57
406,11/16/2021,8:00 a.m.,54
407,11/16/2021,12:00 p.m.,50
408,11/17/2021,8:00 a.m.,46
409,11/17/2021,12:00 p.m.,43
410,11/18/2021,8:00 a.m.,125
411,11/18/2021,12:00 p.m.,139
412,11/19/2021,8:00 a.m.,166
413,11/19/2021,12:00 p.m.,216
414,11/20/2021,8:00 a.m.,177
415,11/20/2021,12:00 p.m.,70
416,11/21/2021,5:00 a.m.,108
417,11/22/2021,8:00 a.m.,95
418,11/22/2021,12:00 p.m.,90
419,11/23/2021,8:00 a.m.,87
420,11/23/2021,12:00 p.m.,84
421,11/24/2021,8:00 a.m.,80
422,11/24/2021,12:00 p.m.,76
423,11/25/2021,8:00 a.m.,71
424,11/25/2021,12:00 p.m.,67
425,11/26/2021,8:00 a.m.,63
426,11/26/2021,12:00 p.m.,58
427,11/27/2021,8:00 a.m.,53
428,11/27/2021,12:00 p.m.,49
429,11/28/2021,5:00 a.m.,90
430,11/29/2021,8:00 a.m.,78
431,11/29/2021,12:00 p.m.,75
432,11/30/2021,8:00 a.m.,71
433,11/30/2021,12:00 p.m.,67
434,12/1/2021,8:00 a.m.,63
435,12/1/2021,12:00 p.m.,59
436,12/2/2021,8:00 a.m.,102
437,12/2/2021,12:00 p.m.,158
438,12/3/2021,8:00 a.m.,267
439,12/3/2021,12:00 p.m.,140
440,12/4/2021,8:00 a.m.,87
441,12/4/2021,12:00 p.m.,57
442,12/5/2021,5:00 a.m.,91
443,12/6/2021,8:00 a.m.,65
